I apologize for the oversight in the numbering and continuity of the Short Answer questions in the previous response. Here is the complete and corrected list of 54 practice short answer questions, covering all necessary topics for your final exam.
Practice Short Answer Questions (54 Questions Total)
Topic 1: ML Introduction, Data, and Preprocessing (12 Questions)
ID
	Topic
	False
	The Silhouette coefficient compares cohesion (similarity to own cluster a(i)) vs. separation (dissimilarity to other clusters b(i)).
	T/F 459
	Evaluation
	The Silhouette coefficient ranges from 0 to 1, where 1 indicates perfect clustering.
	False
	The Silhouette coefficient ranges from -1 to 1.
	T/F 460
	Evaluation
	Extrinsic clustering evaluation requires human judges to evaluate the coherence and quality of the generated clusters.
	True
	Evaluation can involve asking human judges (using HITs) to evaluate quality, such as in Word or Topic Intrusion tasks.
	T/F 461
	DBSCAN
	If using R
∗
-Trees, the complexity of DBSCAN improves because distance computation becomes instantaneous.
	False
	The complexity improves because neighborhood points can be retrieved logarithmically, not because distance computation is instantaneous.
	T/F 462
	Evaluation
	The 'elbow finding' method for determining K is reliable because the SSE value is typically invariant to the random initialization used in K-means.
	False
	Because K-means uses random initialization, multiple runs are needed to estimate SSE accurately.
	T/F 463
	Evaluation
	The two constraints of cluster homogeneity and cluster completeness are the most fundamental restrictions required for any clustering evaluation metric.
	True
	Constraints 1 (Homogeneity) and 2 (Completeness) are the most basic restrictions.
	T/F 464
	LOF
	The Local Outlier Factor score provides a local outlier score that is invariant to the local density of the neighborhood.
	False
	LOF involves a trade-off between local density and the distance from a dense neighborhood.
	T/F 465
	Evaluation
	A highly clustered dataset results in a Hopkins Statistic H close to 0.5.
	False
	If D is uniformly distributed, H is close to 0.5; if highly clustered, H is close to 1.
	T/F 466
	Evaluation
	In the Small Cluster Preservation constraint, splitting a small category into pieces is considered less harmful than splitting a large category into pieces.
	False
	Splitting a small category is considered more harmful.
	T/F 467
	Advanced Unsupervised
	In Matrix Factorization, the rank of a matrix is the maximum number of rank-one matrices that add up to that matrix.
	False
	Rank is the minimum number of rank-one matrices that add up to that matrix.
	T/F 468
	Advanced Unsupervised
	The SVD decomposition of data matrix X is UΣV
T
, where Σ holds the left singular vectors.
	False
	U and V hold the left and right singular vectors; Σ holds the singular values.
	T/F 469
	Advanced Unsupervised
	The Eckart Young Theorem guarantees that the truncated SVD approximation X
k
​
(using the first k singular vectors) is the best rank-k approximation that minimizes the squared error.
	True
	If k<rank(X), the truncated SVD gives the best rank k approximation minimizing squared error.
	T/F 470
	Advanced Unsupervised
	Latent Semantic Indexing (LSI) uses SVD to map query vectors and documents into a lower-dimensional "concept space."
	True
	LSI maps query vectors into "concept space" using SVD.
	T/F 471
	Advanced Unsupervised
	Non-Negative Matrix Factorization (NMF) requires that the matrix factors U and V must contain only non-positive elements.
	False
	NMF requires that U and V are element-wise ≥0 (non-negative).
	T/F 472
	Advanced Unsupervised
	NMF is often preferred over SVD/PCA when interpretation requires a "sum-of-parts" representation.
	True
	NMF helps with interpretation and is good for "sum-of-parts" representation.
	T/F 473
	Advanced Unsupervised
	Collaborative Filtering often uses matrix factorization to approximate the user-item interaction matrix X as UV
T
, where U represents users in latent space and V represents items in latent space.
	True
	Collaborative Filtering approximates X≈UV
T
.
	T/F 474
	Advanced Unsupervised
	An Autoencoder is a neural network architecture designed primarily to predict a future value of a time series.
	False
	An autoencoder is a deep neural network used for dimensionality reduction by predicting its own input data (general encoder/decoder architecture).
	T/F 475
	Advanced Unsupervised
	Co-clustering (or biclustering) is a technique used only in the context of biological data, such as gene expression matrices.
	False
	While commonly used in biological data, matrix representation (like User-Item or Gene-Experiment) can represent various data types.
	T/F 476
	DBSCAN
	If DBSCAN is implemented using a spatial index, its theoretical worst-case complexity remains O(n
2
).
	False
	Using a spatial index can improve complexity by providing logarithmic retrieval.
	T/F 477
	Evaluation
	The elbow method typically looks for an abrupt change in the Silhouette Coefficient plot to suggest the optimal K.
	False
	The elbow method looks for an abrupt change (knee) in the SSE plot.
	T/F 478
	Advanced Unsupervised
	The singular values σ
i
​
in SVD are non-negative and are typically sorted in ascending order.
	False
	Singular values are non-negative and sorted in descending order.
	T/F 479
	Advanced Unsupervised
	In the context of fraud detection, dense blocks in a graph's adjacency matrix often correspond to highly fraudulent activity.
	True
	Fraud looks like dense blocks (bipartite cores) in the adjacency matrix.
	T/F 480
	Advanced Unsupervised
	The autoencoder is a supervised learning method because it requires labeled data to predict the output.
	False
	Autoencoders are unsupervised, trained to predict the input data itself.
	Topic 9: Frequent Pattern Mining & Association Rules (40 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 481
	Freq. Patterns
	An itemset is defined as frequent if its absolute support count is less than a minimum support threshold (minsup).
	False
	An itemset X is frequent if its support is no less than a minsup threshold.
	T/F 482
	Freq. Patterns
	The confidence of an association rule X→Y is defined as the conditional probability that a transaction having X also contains Y, $P(Y
	X)$.
	True
	T/F 483
	Freq. Patterns
	The support of an association rule X→Y is defined as the probability that a transaction contains X union Y, P(X∪Y).
	True
	Support s is the probability that a transaction contains X∪Y.
	T/F 484
	Freq. Patterns
	The standard association rule mining process requires two steps: 1) finding all frequent itemsets, and 2) generating strong association rules from those sets.
	True
	This is the two-step process described.
